51.222.253.20 - - [12/Mar/2022:00:07:44 +0000] "GET / HTTP/1.1" 500 6979 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
120.52.152.20 - - [12/Mar/2022:00:13:02 +0000] "GET / HTTP/1.1" 200 61959 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.20 - - [12/Mar/2022:00:13:06 +0000] "GET /favicon.ico HTTP/1.1" 404 5703 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.20 - - [12/Mar/2022:00:13:08 +0000] "GET /lib/wow/wow.min.js HTTP/1.1" 200 13677 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.19 - - [12/Mar/2022:00:13:09 +0000] "GET / HTTP/1.1" 200 61975 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.20 - - [12/Mar/2022:00:13:09 +0000] "GET /lib/waypoints/waypoints.min.js HTTP/1.1" 200 14581 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.19 - - [12/Mar/2022:00:13:12 +0000] "GET /favicon.ico HTTP/1.1" 404 5707 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.19 - - [12/Mar/2022:00:13:13 +0000] "GET /lib/wow/wow.min.js HTTP/1.1" 200 13709 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.20 - - [12/Mar/2022:00:13:11 +0000] "GET /lib/tempusdominus/js/moment.min.js HTTP/1.1" 200 332615 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.19 - - [12/Mar/2022:00:13:16 +0000] "GET /lib/waypoints/waypoints.min.js HTTP/1.1" 200 14581 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
120.52.152.20 - - [12/Mar/2022:00:13:16 +0000] "GET /lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 62467 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
